id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3118435625,攀登者,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2568577681.jpg,2019-09-30(中国大陆),https://movie.douban.com/subject/30413052/,6,"剧情,爱情,冒险",,,,2021-11-21 22:29:57,
3118434685,我和我的祖国,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2567998580.jpg,2019-09-30(中国大陆),https://movie.douban.com/subject/32659890/,7.6,剧情,,,,2021-11-21 22:29:30,
3118434297,密室逃生,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2543631842.jpg,2019-01-18(中国大陆),https://movie.douban.com/subject/27109679/,7.1,"悬疑,惊悚",,,,2021-11-21 22:29:19,
3084373720,哆啦A梦：伴我同行2,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2641407963.jpg,2021-05-28(中国大陆),https://movie.douban.com/subject/34913671/,7.1,"剧情,动画",,,,2021-10-24 12:15:37,
3065234754,恐怖游轮,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p462470694.jpg,2009-10-16(英国),https://movie.douban.com/subject/3011051/,8.5,"剧情,悬疑,惊悚",,,,2021-10-07 19:40:14,
3028258664,扫黑风暴,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2623884456.jpg,2021-08-09(中国大陆),https://movie.douban.com/subject/35202793/,7.1,"剧情,犯罪",,,,2021-09-06 07:52:34,
2912886155,我的姐姐,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2630463690.jpg,2021-04-02(中国大陆),https://movie.douban.com/subject/35158160/,6.9,"剧情,家庭",,,,2021-06-13 14:20:58,
2902508689,兴安岭猎人传说,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2635669599.jpg,2021-04-01(中国大陆),https://movie.douban.com/subject/35027719/,5.9,"悬疑,冒险,恐怖",,,,2021-06-04 20:12:59,
2878617725,我的三体之章北海传,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2574505014.jpg,2020-01-21(中国大陆),https://movie.douban.com/subject/34892096/,9.6,"剧情,科幻,动画",,,,2021-05-16 00:06:15,
2859836154,新神榜：哪吒重生,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2631711326.jpg,2021-02-12(中国大陆),https://movie.douban.com/subject/34779692/,6.9,"动作,动画,奇幻",,,,2021-05-01 17:07:30,
2859432269,唐人街探案3,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2622388983.jpg,2021-02-12(中国大陆),https://movie.douban.com/subject/27619748/,5.3,"喜剧,悬疑",,,,2021-05-01 11:11:58,
2853420404,横空出世,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p672536444.jpg,1999-12-12(中国大陆),https://movie.douban.com/subject/1464526/,9.4,"剧情,历史",,,,2021-04-25 23:14:48,
2841016845,未知电视剧,,https://img9.doubanio.com/f/frodo/568eb8fac54d39fe599b0de8c3f2aee1dbc43cf0/pics/subject/tv_large.jpg,,https://movie.douban.com/subject/27098632/,0,,,,,2021-04-18 08:10:24,
2840684488,萨利机长,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2363503306.jpg,2016-12-09(中国大陆),https://movie.douban.com/subject/26416603/,8.3,"剧情,传记",,,,2021-04-15 22:51:31,
2715105077,刺杀小说家,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2628440875.jpg,2021-02-12(中国大陆),https://movie.douban.com/subject/26826330/,6.5,"动作,奇幻,冒险",,,,2021-04-10 18:04:10,
2831746316,天下无贼,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2191934463.jpg,2004-12-09(中国大陆),https://movie.douban.com/subject/1291550/,8.1,"动作,犯罪,剧情",,,,2021-04-08 20:02:44,
2827184401,触不可及(美版),,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2575135153.jpg,2019-11-22(中国大陆),https://movie.douban.com/subject/26061679/,7.5,"剧情,喜剧",,,,2021-04-05 15:56:31,
2814200119,风犬少年的天空,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2620379341.jpg,2020-09-24(中国大陆),https://movie.douban.com/subject/30413128/,7.9,喜剧,,,,2021-03-28 17:24:43,
